iter	Passed	Remaining
0	1	112
1	2	104
2	3	100
3	4	105
4	5	102
5	6	106
6	7	103
7	8	101
8	9	99
9	10	97
10	12	98
11	13	96
12	14	95
13	15	93
14	16	92
15	17	90
16	18	89
17	19	88
18	20	88
19	21	87
20	22	86
21	23	84
22	24	83
23	25	81
24	26	80
25	28	79
26	29	78
27	30	77
28	31	77
29	32	76
30	33	75
31	34	74
32	35	72
33	36	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	45	62
42	46	61
43	47	60
44	48	59
45	49	57
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	56	51
52	57	50
53	58	50
54	59	49
55	61	48
56	62	46
57	63	45
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	76	36
68	78	35
69	79	33
70	80	33
71	82	31
72	83	30
73	85	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	114	4
96	115	3
97	117	2
98	118	1
99	119	0
