iter	Passed	Remaining
0	0	922
1	1	834
2	2	847
3	3	823
4	3	783
5	4	760
6	5	737
7	5	722
8	6	718
9	7	712
10	7	705
11	8	698
12	9	690
13	9	689
14	10	687
15	11	684
16	11	682
17	12	679
18	13	676
19	13	671
20	14	676
21	15	677
22	16	683
23	17	693
24	17	693
25	18	691
26	19	688
27	19	684
28	20	679
29	20	676
30	21	673
31	22	670
32	22	668
33	23	666
34	24	664
35	24	662
36	25	662
37	26	661
38	26	658
39	27	656
40	28	657
41	28	656
42	29	655
43	30	654
44	30	654
45	31	654
46	32	656
47	33	656
48	33	655
49	34	654
50	35	653
51	35	652
52	36	651
53	37	650
54	37	649
55	38	648
56	39	647
57	39	645
58	40	645
59	41	643
60	41	642
61	42	645
62	43	644
63	43	643
64	44	641
65	45	640
66	45	640
67	46	640
68	47	641
69	48	638
70	48	637
71	49	636
72	50	635
73	50	635
74	51	635
75	52	634
76	52	633
77	53	632
78	54	631
79	54	630
80	55	629
81	56	629
82	56	629
83	57	627
84	58	626
85	58	626
86	59	625
87	60	624
88	61	624
89	61	623
90	62	622
91	63	622
92	63	622
93	64	621
94	65	620
95	66	621
96	66	621
97	67	620
98	68	619
99	68	618
100	69	618
101	70	616
102	71	618
103	71	618
104	72	618
105	73	616
106	73	615
107	74	613
108	74	612
109	75	610
110	76	609
111	76	607
112	77	609
113	78	608
114	78	606
115	79	605
116	79	603
117	80	601
118	81	600
119	81	598
120	81	595
121	82	593
122	83	592
123	83	590
124	84	589
125	84	588
126	85	584
127	85	583
128	86	582
129	86	581
130	87	579
131	87	578
132	88	577
133	89	575
134	89	574
135	90	573
136	90	571
137	91	570
138	92	571
139	92	570
140	93	569
141	94	568
142	94	565
143	94	562
144	95	561
145	95	559
146	96	558
147	96	557
148	97	556
149	97	555
150	98	554
151	99	552
152	99	552
153	100	550
154	100	549
155	101	548
156	102	547
157	102	546
158	103	545
159	103	544
160	104	543
161	104	542
162	105	541
163	105	540
164	106	539
165	107	539
166	107	538
167	108	537
168	108	535
169	109	534
170	110	533
171	110	532
172	111	530
173	111	529
174	112	528
175	112	526
176	113	525
177	114	526
178	115	527
179	115	527
180	116	526
181	116	525
182	117	524
183	117	523
184	118	522
185	119	521
186	119	520
187	120	519
188	120	518
189	121	517
190	122	518
191	123	517
192	123	517
193	124	515
194	124	515
195	125	514
196	125	513
197	126	511
198	126	511
199	127	510
200	128	509
201	129	509
202	129	509
203	130	508
204	131	508
205	131	507
206	132	506
207	132	505
208	133	505
209	133	504
210	134	503
211	135	502
212	135	501
213	136	499
214	136	499
215	137	498
216	137	497
217	138	496
218	139	496
219	139	495
220	140	494
221	140	494
222	141	493
223	142	492
224	142	491
225	143	490
226	143	489
227	144	488
228	144	487
229	145	486
230	145	485
231	146	484
232	147	484
233	147	483
234	148	482
235	148	481
236	149	480
237	149	479
238	150	479
239	151	478
240	151	477
241	152	477
242	153	477
243	153	476
244	154	475
245	154	475
246	155	474
247	156	474
248	157	473
249	157	472
250	158	472
251	158	471
252	159	470
253	159	469
254	160	469
255	161	468
256	161	467
257	162	466
258	162	465
259	163	465
260	164	464
261	164	463
262	165	462
263	165	462
264	166	461
265	167	461
266	168	461
267	168	460
268	169	460
269	170	460
270	170	459
271	171	458
272	171	457
273	172	457
274	173	456
275	173	455
276	174	454
277	174	454
278	175	453
279	176	452
280	176	452
281	177	451
282	177	450
283	178	450
284	179	449
285	179	448
286	180	447
287	180	447
288	181	447
289	182	447
290	183	446
291	184	446
292	184	445
293	185	445
